Account,Account State,Account Usage State,Roles
admin,UNLOCKED,ACTIVE,CscfApplicationAdministrator
admin,UNLOCKED,ACTIVE,CscfApplicationOperator
admin,UNLOCKED,ACTIVE,CscfApplicationSecurityAdministrator
admin,UNLOCKED,ACTIVE,LocalAuthenticationAdministrator
admin,UNLOCKED,ACTIVE,Self
admin,UNLOCKED,ACTIVE,SystemAdministrator
admin,UNLOCKED,ACTIVE,SystemReadOnly
admin,UNLOCKED,ACTIVE,SystemSecurityAdministrator
admin,UNLOCKED,ACTIVE,SystemTroubleshooter
admin,UNLOCKED,ACTIVE,Cscf_Application_Operator_OSSUser
netconf,UNLOCKED,ACTIVE,LocalAuthenticationAdministrator
netconf,UNLOCKED,ACTIVE,CscfApplicationSecurityAdministrator
netconf,UNLOCKED,ACTIVE,CscfApplicationAdministrator
netconf,UNLOCKED,ACTIVE,SystemSecurityAdministrator
netconf,UNLOCKED,ACTIVE,CscfApplicationOperator
netconf,UNLOCKED,ACTIVE,SystemTroubleshooter
netconf,UNLOCKED,ACTIVE,SystemAdministrator
enm_user,UNLOCKED,UNUSED,LocalAuthenticationAdministrator
enm_user,UNLOCKED,UNUSED,CscfApplicationSecurityAdministrator
enm_user,UNLOCKED,UNUSED,CscfApplicationAdministrator
enm_user,UNLOCKED,UNUSED,SystemSecurityAdministrator
enm_user,UNLOCKED,UNUSED,CscfApplicationOperator
enm_user,UNLOCKED,UNUSED,SystemTroubleshooter
enm_user,UNLOCKED,UNUSED,SystemAdministrator
sftp_user,LOCKED,DORMANT,LocalAuthenticationAdministrator
sftp_user,LOCKED,DORMANT,SystemAdministrator
sftp_user,LOCKED,DORMANT,CscfApplicationSecurityAdministrator
sftp_user,LOCKED,DORMANT,CscfApplicationAdministrator
sftp_user,LOCKED,DORMANT,SystemTroubleshooter
sftp_user,LOCKED,DORMANT,CscfApplicationOperator
sftp_user,LOCKED,DORMANT,SystemSecurityAdministrator
oss_pm,UNLOCKED,ACTIVE,SystemTroubleshooter
oss_pm,UNLOCKED,ACTIVE,CscfApplicationOperator
oss_pm,UNLOCKED,ACTIVE,SystemSecurityAdministrator
oss_pm,UNLOCKED,ACTIVE,CscfApplicationAdministrator
oss_pm,UNLOCKED,ACTIVE,CscfApplicationSecurityAdministrator
oss_pm,UNLOCKED,ACTIVE,LocalAuthenticationAdministrator
oss_pm,UNLOCKED,ACTIVE,SystemAdministrator
oss_pm,UNLOCKED,ACTIVE,Self
oss_pm,UNLOCKED,ACTIVE,SystemReadOnly
oss_pm,UNLOCKED,ACTIVE,Cscf_Application_Operator_OSSUser
cscftest,LOCKED,DORMANT,CscfApplicationSecurityAdministrator
cscftest,LOCKED,DORMANT,CscfApplicationAdministrator
cscftest,LOCKED,DORMANT,CscfApplicationOperator
cscftest,LOCKED,DORMANT,SystemTroubleshooter
cscftest,LOCKED,DORMANT,SystemSecurityAdministrator
cscftest,LOCKED,DORMANT,SystemReadOnly
cscftest,LOCKED,DORMANT,SystemAdministrator
ATP_testing,LOCKED,DORMANT,CscfApplicationOperator
readonly,UNLOCKED,ACTIVE,CscfApplicationOperator
readonly,UNLOCKED,ACTIVE,SystemReadOnly
la-admin,NA,NA,NA
